size,sparsity,spectral_norm,spectral_cond,fwd_err,decomp_err_12,decomp_err_365
3,0.4444444444444444,0.0483195406180402976841103623285,inf,"('6.7826e-17', '3.5374e-13', '1.0191e-15')","('8.50692e-16', '8.50734e-16', '6.67503e-15', '1.26791', 'Sonnenberg method')","('1.51416e-14', '4.31773e-14', '5.38214e-14', '1.70734', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0567904756398972078194017403597,inf,"('6.5999e-17', '9.8871e-13', '5.1409e-16')","('3.77585e-16', '1.53392e-15', '1.28163e-14', '1.42951', 'Schur-Padé with RegRE')","('1.59825e-14', '5.06869e-14', '3.95484e-13', '1.69735', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.056385163661436041253839218433,inf,"('7.8906e-17', '2.8678e-12', '8.7713e-16')","('3.94709e-16', '7.51879e-16', '7.1957e-15', '1.19258', 'Schur-Padé with RegRE')","('3.41358e-14', '3.41287e-14', '3.59572e-13', '1.26188', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0605444069368195709003911819083,inf,"('3.2142e-17', '1.5199e-12', '4.5182e-16')","('5.0313e-16', '5.03075e-16', '6.76568e-15', '1.38065', 'Schur-Padé with RegRE')","('2.5033e-14', '4.39842e-14', '1.23762e-13', '1.68778', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0282635595352804056153035233253,inf,"('4.7741e-17', '1.2442e-14', '6.8049e-16')","('1.62594e-16', '1.62615e-16', '4.31339e-15', '1.17776', 'Sonnenberg method')","('5.79899e-15', '5.79899e-15', '2.87638e-13', '1.71951', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0470958518254457582993805128399,inf,"('6.1568e-17', '4.5143e-13', '4.1784e-16')","('8.79704e-16', '8.79716e-16', '5.11363e-15', '1.46101', 'Schur-Padé with RegRE')","('1.75736e-14', '1.75736e-14', '2.74688e-13', '1.7016', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0317198542392762727211797664384,inf,"('1.778e-17', '1.2621e-13', '1.0511e-15')","('7.423e-16', '7.4232e-16', '1.16169e-14', '1.09784', 'Schur-Padé with RegRE')","('7.46468e-15', '4.31083e-14', '1.53477e-13', '1.2205', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0490994347106154420552397740826,inf,"('6.5368e-17', '5.8454e-13', '1.7649e-15')","('4.04904e-16', '4.04895e-16', '1.23772e-14', '1.19776', 'Sonnenberg method')","('2.6483e-14', '5.52636e-14', '3.5185e-13', '1.448', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0543683186206464266090015035335,inf,"('6.7671e-17', '1.4404e-12', '9.6515e-16')","('1.96643e-16', '1.02941e-15', '1.22784e-14', '1.50976', 'Sonnenberg method')","('1.8133e-14', '1.8133e-14', '2.28574e-13', '1.26874', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0274204980519906902765717212226,inf,"('5.5407e-17', '3.2764e-14', '1.2157e-15')","('3.97345e-16', '1.57365e-15', '9.59534e-15', '1.39449', 'Sonnenberg method')","('2.37831e-15', '3.7887e-14', '8.37071e-14', '1.71043', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0563865735070568603231299471064,inf,"('5.3949e-17', '3.6739e-12', '7.3492e-16')","('5.43198e-16', '1.17292e-15', '9.37854e-15', '1.31442', 'Sonnenberg method')","('1.39257e-14', '2.07913e-14', '4.00483e-13', '1.20374', 'Schur-Padé with RegRE')"
3,0.5555555555555556,0.0274798706709490176100375763321,inf,"('5.3029e-17', '3.7032e-15', '5.3732e-17')","('4.97156e-16', '6.78746e-16', '7.78534e-16', '1.19769', 'Sonnenberg method')","('2.9994e-14', '4.14434e-14', '3.85572e-14', '1.20504', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0378999956671729008001723381645,inf,"('3.6011e-17', '2.025e-13', '1.0062e-15')","('4.45419e-16', '4.45419e-16', '9.02631e-15', '1.3134', 'Schur-Padé with RegRE')","('2.36316e-14', '4.91664e-14', '2.53314e-13', '1.23909', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0442816891761370649268242388258,inf,"('3.9324e-17', '7.6979e-13', '7.2005e-16')","('1.00787e-15', '1.00789e-15', '4.94791e-15', '1.20824', 'Schur-Padé with RegRE')","('2.19054e-14', '3.83262e-14', '4.72489e-13', '1.22326', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0478086803128735727580760385763,inf,"('6.4865e-17', '9.9804e-13', '1.2772e-15')","('8.58356e-16', '8.58325e-16', '1.19848e-14', '1.11503', 'Sonnenberg method')","('3.35061e-14', '3.35058e-14', '2.51746e-13', '1.22175', 'Schur-Padé with RegRE')"
3,0.5555555555555556,0.0306459348265714709716394515306,inf,"('8.1613e-17', '1.2821e-14', '9.8057e-17')","('4.18759e-16', '7.5208e-16', '7.20098e-16', '1.20494', 'Sonnenberg method')","('1.09161e-14', '2.46392e-14', '1.44872e-14', '1.20394', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0616741300415787921557734280964,inf,"('7.1318e-17', '1.4354e-12', '1.213e-15')","('3.30452e-16', '3.30439e-16', '5.57077e-15', '1.30168', 'Schur-Padé with RegRE')","('1.89891e-14', '1.89891e-14', '1.08265e-13', '1.68822', 'Schur-Padé with RegRE')"
3,0.5555555555555556,0.0535070408623406616964314864052,inf,"('5.9045e-17', '5.8402e-13', '6.7115e-17')","('8.80117e-17', '8.80119e-17', '4.88504e-15', '1.31933', 'Schur-Padé with RegRE')","('1.99115e-15', '3.28726e-14', '1.82234e-14', '1.19696', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0379856267250505573967324792203,inf,"('7.4686e-17', '1.4028e-13', '8.2583e-17')","('1.38307e-16', '1.33299e-15', '2.84826e-16', '1.50894', 'Sonnenberg method')","('2.27084e-14', '2.27086e-14', '1.5556e-13', '1.70886', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0514926887264970011286714913397,inf,"('5.136e-17', '1.0166e-12', '7.654e-17')","('4.83985e-16', '1.0277e-15', '6.36174e-16', '1.61438', 'Schur-Padé with RegRE')","('1.82639e-14', '1.65264e-14', '2.3166e-14', '1.69786', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0616183874025361625817077303039,inf,"('6.4926e-17', '6.0738e-12', '7.7667e-16')","('6.28155e-16', '6.27958e-16', '1.1425e-14', '1.21506', 'Sonnenberg method')","('3.05144e-14', '4.02817e-14', '3.01347e-13', '1.21692', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0190518282786303436314134512958,inf,"('2.707e-17', '2.7945e-15', '9.2884e-16')","('1.26616e-16', '1.26597e-16', '1.46315e-14', '1.11387', 'Sonnenberg method')","('1.59712e-14', '2.02251e-14', '1.71499e-13', '1.23658', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0724521822356008285135600543832,inf,"('3.5834e-17', '6.0542e-12', '9.0526e-16')","('2.12392e-17', '1.15977e-15', '1.39299e-14', '1.18255', 'Sonnenberg method')","('2.37676e-15', '2.37781e-15', '3.37004e-13', '1.21668', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0539428574055516238107860227751,inf,"('5.2967e-17', '1.5143e-12', '5.7875e-17')","('1.00687e-15', '1.329e-15', '1.19491e-15', '1.61619', 'Schur-Padé with RegRE')","('2.14131e-14', '2.14131e-14', '1.60765e-13', '1.69411', 'Schur-Padé with RegRE')"
