size,p,err_pade,err_rk45,err_sp,err_10
3,1000,7.85730137560395707738128951868e-14,3.95142140594801117409724006348e-14,8.93905181137711127240889589451e-14,1.72282654628608753230214989056
3,2000,1.23726461793130353542828276933e-13,1.23726461793130353542828276933e-13,1.74957504126494253283687500413e-13,1.72282654628608746934480569664
3,3000,5.00224401969412254933067720307e-14,5.00224418051068770371138004813e-14,1.95376119648496589620184505864e-13,1.72282654628608760932413529964
3,4000,2.35421884114841801851059332281e-13,2.35421884118050377090886453027e-13,2.43345969826802710662904787025e-13,1.72282654628608742158283367334
3,5000,2.87015950339871961822877357435e-13,2.87015955686322230422323355181e-13,2.93257513361901854362966759985e-13,1.72282654628608741554367269865
3,6000,1.74173188851212516037812779089e-13,1.74173188851212516037812779089e-13,1.04127527670926516744811140619e-12,1.72282654628608748440306221091
3,7000,2.41090092821820390947523364293e-13,4.87384905678034099617013225518e-13,9.39106552465535682494607307983e-13,1.72282654628608739764207549278
3,8000,5.77318006387754171510498212142e-13,5.77318006389227870811523081461e-13,1.38632295571945828483714871308e-12,1.72282654628608741493427089099
3,9000,3.1211093844827026971404692947e-13,6.42668032268224298386650256284e-13,1.0,1.72282654628608741485866031729
3,1000,6.57054295020466034848951765859e-14,8.05531644192846000132390071702e-14,3.75591584547355528586855172107e-13,1.0
3,2000,5.40299377612695823267100856095e-14,5.40294911272128546729126204174e-14,8.66387345029170594966687070988e-13,1.20908179084050680867432195185
3,3000,2.10103009093448333219435249657e-13,2.10103144259228628733913727809e-13,4.66035052992836464041026660779e-12,1.20908179084054436614951655861
3,4000,2.64401313984112335461880331473e-13,2.64401251869232665434054778514e-13,1.71315853760834330372011293328e-12,1.2090817908405098966651613448
3,5000,1.01148713556331751222190872463e-13,1.01148095708331202600993664938e-13,2.44010478850086791154456826777e-12,1.20908179084050757902642677341
3,6000,5.01976683028344619285703277768e-13,5.01976652486554140384339082216e-13,9.5010454704048962040735496495e-12,1.20908179084056568126480245485
3,7000,5.98505361800198080905811363866e-13,5.98096787782883989240709748097e-13,4.07826959839551183796510958269e-12,1.20908179084066747440261014782
3,8000,4.83142412292536462914957791815e-13,1.01406836355146543464132139357e-12,3.74005004127854795432101935649e-12,1.20908179084047849379499171161
3,9000,6.21812805450796356613049936544e-14,9.39251768231523712481522630303e-13,1.92693894169407419135173465676e-11,1.20908179084034297801577712147
3,1000,4.2888761275530038605869798665e-14,4.28887607175635791090268921545e-14,9.54163562016862481568762595886e-13,1.72414293583613837168566536222
3,2000,7.17360520550184396523037470457e-14,7.17360549389584044257421421951e-14,2.10590305621158868030923785913e-12,1.7241429358361384428186667091
3,3000,2.4905605437796039469046840886e-13,2.4905605437796039469046840886e-13,1.53458712486633291152773559752e-12,1.72414293583613827800060408706
3,4000,1.24582970260620521519164921838e-13,1.24582956957571400152757750964e-13,3.99241829692558670749316640758e-12,1.7241429358361383326637878105
3,5000,1.27760412109118161974295218638e-13,4.88353360117630176756831619003e-13,5.33420666313672483271010513124e-12,1.72414293583613833786797586185
3,6000,4.93770982676607242261411487564e-13,8.13928319866005575904225401481e-13,5.09415111383768781101679792618e-12,1.72414293583613842189288548565
3,7000,3.59073661825996352476919775808e-13,3.59073661825996352476919775808e-13,1.08600300210459911774637813771e-11,1.72414293583613831312474518813
3,8000,2.08490416507925935833606441042e-13,2.08490421586356838271274962296e-13,1.0,1.7241429358361383661099220635
3,9000,6.41353775460003336832741985308e-13,1.15810733975667010084972648565e-12,1.0,1.72414293583613829196824709288
3,1000,6.43278587423076068067521705683e-14,6.43278587865396003162292027258e-14,6.76085003145244946742940367638e-13,1.51585344132476855081059078045
3,2000,1.29841645466733501441373885593e-13,1.29841646117766304624560905051e-13,1.67836385167956492018627768044e-12,1.5158534413256285830487479796
3,3000,9.74930759311595002580919140952e-14,1.9197180054022511305367125813e-13,2.18681028512077147344963647468e-12,1.51585344132593313966660739107
3,4000,1.5244291682756778654846052751e-13,1.52442957699799611868127841332e-13,2.79912051629987673061938246588e-12,1.51585344132567134676941211159
3,5000,2.86686944952604633449396840055e-13,2.10031590102235922169106061586e-13,3.60193512684501148907813800874e-12,1.51585344132613234746482440103
3,6000,4.61939750634516208156234536338e-13,4.61939747894152709665586090756e-13,3.96947207797733850790097233814e-12,1.51585344132607485926058479472
3,7000,6.38185287218426919055236187508e-13,7.12249417953612060703986578091e-13,4.12029510178052186520261395043e-12,1.51585344132582747883655152768
3,8000,7.39634058766033598700729654423e-14,6.97713420482797257987275315724e-13,5.25667756661750405528366221045e-12,1.51585344132575873748293146708
3,9000,7.13981143119220032244258990514e-13,1.17988803472220095081192290202e-12,7.25825879537768889234305403464e-12,1.51585344132570819420475021099
3,1000,2.87007577108935494001453313315e-14,7.09698921649678116487299970079e-14,4.95240666903715926970127856541e-14,1.71333834022102716719059616967
3,2000,9.95209535943963776737894051672e-14,1.64481266821264779355432892518e-13,2.00586229081761671827792378802e-13,1.71333834022102727101684530187
3,3000,1.11791070475414943914252882299e-13,2.75622889741057769985671160865e-13,1.37165625716905958343268332831e-13,1.71333834022102713170117027366
3,4000,3.67715526160018918061914624041e-13,3.67715526160018918061914624041e-13,4.59806313833853596439010819612e-13,1.71333834022102715784408151875
3,5000,1.84654694905654342215596656523e-13,4.75875007968828448456293895772e-13,2.25981446858966697438870719167e-13,1.7133383402210272357204015482
3,6000,2.45429611900570814965054439106e-13,8.21426496319657742481838172024e-13,3.24100672680772690615845154975e-13,1.71333834022102715790489617999
3,7000,1.74220526126293595935645918323e-13,5.88289183966462165941934293719e-13,3.67693231133702462046444288373e-13,1.7133383402210272011342322997
3,8000,6.6764406727551216901502350646e-13,1.16543789214922001603512846256e-12,9.02714956208733593129704319963e-13,1.71333834022102723582402689208
3,9000,3.89462088525469336216452303885e-13,4.94452731291509425298232660822e-13,6.60267046591249599557306655879e-13,1.71333834022102718383480197828
3,1000,1.82100072247679426854960036821e-14,1.82102387229034970682233732628e-14,4.16650811674144118700064869817e-13,1.19157071460833263904742378266
